1	1	1.21E+01	1.19E+02
1	2	1.21E+01	-1.41E+02
1	3	1.21E+01	-6.00E+01
1	4	1.21E+01	3.85E+01
2	1	7.73E+00	-1.63E+02
2	2	7.72E+00	-5.89E+01
2	3	7.74E+00	2.23E+01
2	4	7.75E+00	1.16E+02
3	1	1.47E+01	2.45E+00
3	2	1.47E+01	1.03E+02
3	3	1.47E+01	-1.77E+02
3	4	1.47E+01	-7.85E+01
5	1	1.44E+01	5.88E+01
5	2	1.44E+01	1.57E+02
5	3	1.44E+01	-1.22E+02
5	4	1.44E+01	-2.31E+01
6	1	3.08E+00	9.35E+01
6	2	3.09E+00	-1.68E+02
6	3	3.09E+00	-8.64E+01
6	4	3.07E+00	1.24E+01
7	1	1.49E+01	3.03E+01
7	2	1.48E+01	1.29E+02
7	3	1.48E+01	-1.50E+02
7	4	1.49E+01	-5.07E+01
8	1	6.73E+00	1.56E+02
8	2	6.76E+00	-1.05E+02
8	3	6.81E+00	-2.46E+01
8	4	6.78E+00	7.50E+01
9	1	1.39E+01	-1.69E+02
9	2	1.39E+01	-7.04E+01
9	3	1.39E+01	1.12E+01
9	4	1.39E+01	1.10E+02
10	1	6.83E+00	-1.21E+02
10	2	6.84E+00	-2.28E+01
10	3	6.86E+00	5.83E+01
10	4	6.87E+00	1.58E+02
11	1	8.73E+00	-1.06E+02
11	2	8.71E+00	-7.40E+00
11	3	8.69E+00	7.34E+01
11	4	8.70E+00	1.73E+02
12	1	1.29E+01	1.75E+02
12	2	1.29E+01	-8.58E+01
12	3	1.29E+01	-5.72E+00
12	4	1.29E+01	9.26E+01
13	1	1.17E+01	-1.58E+02
13	2	1.17E+01	-5.88E+01
13	3	1.17E+01	2.15E+01
13	4	1.17E+01	1.21E+02
14	1	9.77E+00	-1.33E+02
14	2	9.78E+00	-3.41E+01
14	3	9.79E+00	4.73E+01
14	4	9.78E+00	1.46E+02
15	1	7.76E+00	-9.12E+01
15	2	7.82E+00	7.35E+00
15	3	7.80E+00	8.80E+01
15	4	7.74E+00	-1.73E+02
16	1	1.40E+01	-1.72E+02
16	2	1.40E+01	-7.32E+01
16	3	1.39E+01	7.53E+00
16	4	1.39E+01	1.07E+02
17	1	1.07E+01	1.25E+02
17	2	1.07E+01	-1.36E+02
17	3	1.07E+01	-5.49E+01
17	4	1.07E+01	4.39E+01
18	1	1.47E+01	6.49E+01
18	2	1.47E+01	1.63E+02
18	3	1.47E+01	-1.15E+02
18	4	1.47E+01	-1.68E+01
19	1	1.35E+01	-9.39E+01
19	2	1.35E+01	4.81E+00
19	3	1.35E+01	8.49E+01
19	4	1.35E+01	-1.76E+02
21	1	1.39E+01	-3.71E+01
21	2	1.39E+01	6.11E+01
21	3	1.39E+01	1.42E+02
21	4	1.39E+01	-1.20E+02
22	1	1.27E+01	1.41E+02
22	2	1.27E+01	-1.20E+02
22	3	1.27E+01	-3.97E+01
22	4	1.27E+01	5.95E+01
23	1	1.44E+01	-1.12E+02
23	2	1.45E+01	-1.41E+01
23	3	1.45E+01	6.70E+01
23	4	1.44E+01	1.66E+02
24	1	9.86E+00	-4.32E+01
24	2	9.90E+00	5.59E+01
24	3	9.90E+00	1.37E+02
24	4	9.87E+00	-1.25E+02
25	1	1.40E+01	-1.42E+02
25	2	1.40E+01	-4.30E+01
25	3	1.40E+01	3.77E+01
25	4	1.40E+01	1.37E+02
26	1	3.99E+00	4.30E+00
26	2	4.01E+00	1.03E+02
26	3	4.04E+00	-1.76E+02
26	4	4.03E+00	-7.71E+01
27	1	1.27E+01	-3.68E+01
27	2	1.27E+01	6.19E+01
27	3	1.27E+01	1.43E+02
27	4	1.27E+01	-1.18E+02
28	1	1.34E+01	-4.89E+01
28	2	1.34E+01	4.94E+01
28	3	1.34E+01	1.30E+02
28	4	1.34E+01	-1.32E+02
29	1	9.81E+00	9.80E+01
29	2	9.83E+00	-1.63E+02
29	3	9.83E+00	-8.31E+01
29	4	9.82E+00	1.63E+01
30	1	1.28E+01	6.09E+01
30	2	1.27E+01	1.60E+02
30	3	1.27E+01	-1.19E+02
30	4	1.28E+01	-2.01E+01
31	1	1.42E+01	-6.95E+01
31	2	1.43E+01	2.88E+01
31	3	1.43E+01	1.10E+02
31	4	1.42E+01	-1.51E+02
32	1	1.12E+01	3.57E+00
32	2	1.12E+01	1.03E+02
32	3	1.12E+01	-1.77E+02
32	4	1.12E+01	-7.83E+01
